[Thu Jan 19 19:55:01.808315 2017] [ssl:warn] [pid 7800:tid 588] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jan 19 19:55:02.365806 2017] [ssl:warn] [pid 7800:tid 588] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jan 19 19:55:02.567334 2017] [mpm_winnt:notice] [pid 7800:tid 588] AH00455: Apache/2.4.23 (Win32) OpenSSL/1.0.2h PHP/5.6.28 configured -- resuming normal operations
[Thu Jan 19 19:55:02.567334 2017] [mpm_winnt:notice] [pid 7800:tid 588] AH00456: Apache Lounge VC11 Server built: Jul  7 2016 11:13:22
[Thu Jan 19 19:55:02.567334 2017] [core:notice] [pid 7800:tid 588] AH00094: Command line: 'c:\\xampp\\apache\\bin\\httpd.exe -d C:/xampp/apache'
[Thu Jan 19 19:55:02.572348 2017] [mpm_winnt:notice] [pid 7800:tid 588] AH00418: Parent: Created child process 7956
[Thu Jan 19 19:55:04.332835 2017] [ssl:warn] [pid 7956:tid 564] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jan 19 19:55:04.901346 2017] [ssl:warn] [pid 7956:tid 564] AH01909: www.example.com:443:0 server certificate does NOT include an ID which matches the server name
[Thu Jan 19 19:55:05.011645 2017] [mpm_winnt:notice] [pid 7956:tid 564] AH00354: Child: Starting 150 worker threads.
[Thu Jan 19 20:45:23.927396 2017] [:error] [pid 7956:tid 1896] [client ::1:6911] PHP Parse error:  syntax error, unexpected '}' in C:\\xampp\\htdocs\\helloworld.php on line 11
[Thu Jan 19 20:45:33.938553 2017] [:error] [pid 7956:tid 1896] [client ::1:6912] PHP Notice:  Trying to get property of non-object in C:\\xampp\\htdocs\\helloworld.php on line 9
[Thu Jan 19 20:48:45.890045 2017] [:error] [pid 7956:tid 1896] [client ::1:6969] PHP Warning:  mysql_close() expects parameter 1 to be resource, object given in C:\\xampp\\htdocs\\helloworld.php on line 15
[Thu Jan 19 20:53:14.135151 2017] [:error] [pid 7956:tid 1896] [client ::1:7015] PHP Warning:  mysqli_prepare() expects exactly 2 parameters, 1 given in C:\\xampp\\htdocs\\helloworld.php on line 15
[Thu Jan 19 20:53:14.135151 2017] [:error] [pid 7956:tid 1896] [client ::1:7015] PHP Fatal error:  Call to a member function execute() on null in C:\\xampp\\htdocs\\helloworld.php on line 16
[Thu Jan 19 20:53:37.709979 2017] [:error] [pid 7956:tid 1896] [client ::1:7019] PHP Fatal error:  Call to a member function execute() on boolean in C:\\xampp\\htdocs\\helloworld.php on line 16
[Thu Jan 19 22:03:26.252596 2017] [:error] [pid 7956:tid 1904] [client ::1:9068] PHP Parse error:  syntax error, unexpected 'die' (T_EXIT), expecting ',' or ';' in C:\\xampp\\htdocs\\helloworld.php on line 11
[Thu Jan 19 22:06:05.990424 2017] [:error] [pid 7956:tid 1892] [client ::1:9201] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'No database selected' in C:\\xampp\\htdocs\\helloworld.php:18\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(18): mysqli_prepare(Object(mysqli), 'SELECT * FROM `...')\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 18
[Thu Jan 19 22:09:04.082319 2017] [:error] [pid 7956:tid 1892] [client ::1:9350] PHP Parse error:  syntax error, unexpected '$query' (T_VARIABLE) in C:\\xampp\\htdocs\\helloworld.php on line 9
[Thu Jan 19 22:09:14.224920 2017] [:error] [pid 7956:tid 1892] [client ::1:9352] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'No index used in query/prepared statement SELECT * FROM `tasks`' in C:\\xampp\\htdocs\\helloworld.php:20\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(20): mysqli_stmt_execute(Object(mysqli_stmt))\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 20
[Thu Jan 19 22:10:18.068091 2017] [:error] [pid 7956:tid 1892] [client ::1:9412] PHP Warning:  mysqli_stmt_bind_result(): Number of bind variables doesn't match number of fields in prepared statement in C:\\xampp\\htdocs\\helloworld.php on line 20
[Thu Jan 19 22:10:18.068591 2017] [:error] [pid 7956:tid 1892] [client ::1:9412] PHP Notice:  Undefined variable: stmt in C:\\xampp\\htdocs\\helloworld.php on line 21
[Thu Jan 19 22:10:18.069094 2017] [:error] [pid 7956:tid 1892] [client ::1:9412] PHP Warning:  mysqli_stmt_fetch() expects parameter 1 to be mysqli_stmt, null given in C:\\xampp\\htdocs\\helloworld.php on line 21
[Thu Jan 19 22:10:18.069094 2017] [:error] [pid 7956:tid 1892] [client ::1:9412] PHP Notice:  Undefined variable: stmt in C:\\xampp\\htdocs\\helloworld.php on line 24
[Thu Jan 19 22:10:18.069595 2017] [:error] [pid 7956:tid 1892] [client ::1:9412] PHP Warning:  mysqli_stmt_close() expects parameter 1 to be mysqli_stmt, null given in C:\\xampp\\htdocs\\helloworld.php on line 24
[Thu Jan 19 22:11:26.117063 2017] [:error] [pid 7956:tid 1892] [client ::1:9482] PHP Warning:  mysqli_stmt_bind_result(): Number of bind variables doesn't match number of fields in prepared statement in C:\\xampp\\htdocs\\helloworld.php on line 20
[Thu Jan 19 22:12:30.910831 2017] [:error] [pid 7956:tid 1892] [client ::1:9528] PHP Warning:  mysqli_stmt_bind_result(): Number of bind variables doesn't match number of fields in prepared statement in C:\\xampp\\htdocs\\helloworld.php on line 20
[Thu Jan 19 22:30:20.974912 2017] [:error] [pid 7956:tid 1892] [client ::1:10357] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'Operand should contain 1 column(s)' in C:\\xampp\\htdocs\\helloworld.php:18\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(18): mysqli_prepare(Object(mysqli), 'SELECT (id, tit...')\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 18
[Thu Jan 19 22:30:51.549419 2017] [:error] [pid 7956:tid 1892] [client ::1:10390] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'Operand should contain 1 column(s)' in C:\\xampp\\htdocs\\helloworld.php:18\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(18): mysqli_prepare(Object(mysqli), 'SELECT (id, tit...')\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 18
[Thu Jan 19 22:33:01.205662 2017] [:error] [pid 7956:tid 1892] [client ::1:10565] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'No index used in query/prepared statement SELECT id FROM `tasks`' in C:\\xampp\\htdocs\\helloworld.php:19\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(19): mysqli_stmt_execute(Object(mysqli_stmt))\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 19
[Thu Jan 19 22:36:27.741340 2017] [:error] [pid 7956:tid 1892] [client ::1:10810] PHP Parse error:  syntax error, unexpected ')' in C:\\xampp\\htdocs\\helloworld.php on line 12
[Thu Jan 19 22:36:36.548463 2017] [:error] [pid 7956:tid 1892] [client ::1:10811] PHP Fatal error:  Uncaught exception 'mysqli_sql_exception' with message 'No index used in query/prepared statement SELECT id FROM `tasks`' in C:\\xampp\\htdocs\\helloworld.php:19\nStack trace:\n#0 C:\\xampp\\htdocs\\helloworld.php(19): mysqli_stmt_execute(Object(mysqli_stmt))\n#1 {main}\n  thrown in C:\\xampp\\htdocs\\helloworld.php on line 19
[Thu Jan 19 22:37:03.441397 2017] [:error] [pid 7956:tid 1892] [client ::1:10826] PHP Warning:  mysqli_stmt_bind_result(): Number of bind variables doesn't match number of fields in prepared statement in C:\\xampp\\htdocs\\helloworld.php on line 22
